sentence,word_labels,rule_attribute,missing_words,attr_words
", the state of Maryland managed seven NEAs covering of land","O,O,B-ent,I-ent,I-ent,O,O,O,O,O,O",UNKNOWN,UNKNOWN <EOS>,[]
"In southern Maryland , free blacks made up 24.7 % of the black population","O,O,O,O,B-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,B-attr,I-attr",black population percent,percent <EOS>,"['made', 'black', 'population']"
Maryland 's state sales tax is 6 percent,"B-ent,I-ent,B-attr,I-attr,I-attr,O,B-qty,I-qty",state sales tax, <EOS>,"['state', 'sales', 'tax']"
Suzuki Motor Corporation increased its stake in Maruti to 54.2 per cent,"B-ent,I-ent,I-ent,B-attr,O,B-attr,I-attr,I-attr,O,B-qty,I-qty,I-qty",increased stake in Maruti, <EOS>,"['increased', 'stake', 'in', 'Maruti']"
The Tracker was originally powered by Suzuki 's 1.6L SOHC Straight - 4 engine producing,"O,B-ent,O,O,O,O,O,O,B-qty,O,O,O,O,O,O",volume,volume <EOS>,[]
The revolt lasted for six years and the costs to the Venetians were heavy,"O,B-ent,B-attr,O,B-qty,I-qty,O,O,O,O,O,O,O,O",duration lasted,duration <EOS>,['lasted']
Greyhound racing at Field Mill lasted three years from 1928 until 1931,"O,O,O,B-ent,I-ent,B-attr,B-qty,I-qty,O,O,O,O",duration lasted,duration <EOS>,['lasted']
Gaya station is 20 kilometers away Bodh the most sacred place in [ Buddhism ],"B-ent,I-ent,O,B-qty,I-qty,O,B-attr,O,O,O,O,O,O,O,O",distance from Bodh,distance from <EOS>,['Bodh']
Alaska has 12 percent of all National Forest lands,"B-ent,O,B-qty,I-qty,O,B-attr,O,O,I-attr",area of national forest lands,area national forest <EOS>,"['all', 'lands']"
"Juneau , Alaska , received 66.40 inches of precipitation and averaged 40.6 °F during 2011","B-ent,O,O,O,B-attr,B-qty,I-qty,O,B-attr,O,O,O,O,O,O",received  precipitation, <EOS>,"['received', 'precipitation']"
"Normal levels in Fairbanks , Alaska were around 10 micrograms per cubic meter","O,O,O,B-ent,I-ent,I-ent,O,O,B-qty,I-qty,I-qty,I-qty,I-qty",density,density <EOS>,[]
Specimen collected off Alaska have been aged to 49 years old,"B-attr,O,O,B-ent,O,O,O,O,B-qty,I-qty,O",specimen age,specimen age <EOS>,['Specimen']
", Lumino had an unemployment rate of 2.27 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
", Zäziwil had an unemployment rate of 0.88 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
"At this point , the SDF were 6 kilometers from ISIL territory","O,O,O,O,O,B-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance from ISIL territory,distance <EOS>,"['from', 'ISIL', 'territory']"
"With al - Thaknah captured , the SDF controlled about 70 % of Raqqa","O,O,O,O,O,O,B-ent,I-ent,B-attr,O,B-qty,I-qty,O,O",controlled Raqqa, <EOS>,['controlled']
The ancient city Ramtek is sixty kilometers from Lakhani,"O,B-ent,I-ent,I-ent,O,B-qty,I-qty,B-attr,I-attr",distance from Lakhani,distance <EOS>,"['from', 'Lakhani']"
The GDR Council of Ministers ordered 3 day mourning period,"O,B-ent,I-ent,I-ent,I-ent,B-attr,B-qty,I-qty,B-attr,I-attr",ordered mourning period, <EOS>,"['ordered', 'mourning', 'period']"
Lumbrein has an unemployment rate of 0.66 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
A trip from Darling Harbour towards Circular Quay usually lasts 27 minutes,"O,B-attr,O,B-ent,I-ent,O,O,O,O,B-attr,B-qty,I-qty",trip lasts, <EOS>,"['trip', 'lasts']"
", Arogno had an unemployment rate of 1.53 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Anegpur is approximately 40 km from Varanasi,"B-ent,O,O,B-qty,I-qty,B-attr,I-attr",distance from Varanasi,distance <EOS>,"['from', 'Varanasi']"
Wembley bought out United Tote 's 20 percent stake in the company in August 1992,"B-ent,B-attr,O,I-attr,I-attr,I-attr,B-qty,I-qty,B-attr,O,O,O,O,O,O",bought stake of United Tote 's,of <EOS>,"['bought', 'United', 'Tote', ""'s"", 'stake']"
The Winchendon School 's campus is approximately 236 acres,"B-ent,I-ent,I-ent,O,B-attr,O,O,B-qty,I-qty",campus area,area <EOS>,['campus']
Donetsk Railway 's length is 13 percent of Ukrainian railway network total length,"B-ent,I-ent,I-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr",Ukrainian railway network total length, <EOS>,"['of', 'Ukrainian', 'railway', 'network', 'total', 'length']"
Donetsk city was targeted by banned 82 mm and 120 mm mortars,"B-ent,I-ent,O,B-attr,O,O,B-qty,I-qty,O,O,O,O",length targeted,length <EOS>,['targeted']
"In the area of Donetsk city , Kamyanka was struck by 120 mm mortar rounds","O,O,O,O,O,O,O,B-ent,O,B-attr,O,B-qty,I-qty,O,O",length struck,length <EOS>,['struck']
The family later moved to Harlem New York when Keith was 12 years old,"O,O,O,O,O,O,O,O,O,B-ent,O,B-qty,I-qty,O",age,age <EOS>,[]
The average annual growth of the Brazilian economy during Dutra administration was 7.6 %,"O,B-attr,I-attr,I-attr,O,O,B-ent,I-ent,I-ent,B-ent,I-ent,O,B-qty,I-qty",average annual growth, <EOS>,"['average', 'annual', 'growth']"
FirstGroup own 94 % of the company with Trentbarton owning the other 6 %,"B-ent,O,B-qty,I-qty,O,B-attr,I-attr,O,O,O,O,O,O,O",the company share,share <EOS>,"['the', 'company']"
Cochin International Airport at Nedumbassery is 11.7 km from Aluva,"B-ent,I-ent,I-ent,O,O,O,B-qty,I-qty,B-attr,I-attr",distance from Aluva,distance <EOS>,"['from', 'Aluva']"
Cochin International Airport is 70 km away,"B-ent,I-ent,I-ent,O,B-qty,I-qty,O",distance,distance <EOS>,[]
Cochin International Airport is about 10 kilometres from Neeleeswaram - Naduvattom,"B-ent,I-ent,I-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr",distance from Neeleeswaram - Naduvattom,distance <EOS>,"['from', 'Neeleeswaram', '-', 'Naduvattom']"
Cochin International Airport is hardly 20 km away from Edathala,"B-ent,I-ent,I-ent,O,O,B-qty,I-qty,O,B-attr,I-attr",distance from Edathala,distance <EOS>,"['from', 'Edathala']"
Cochin International Airport is just 6.3 km from the town center,"B-ent,I-ent,I-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr",distance from the town center,distance <EOS>,"['from', 'the', 'town', 'center']"
Cochin International Airport is situated in 60 km from the city,"B-ent,I-ent,I-ent,O,O,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance from the city,distance <EOS>,"['from', 'the', 'city']"
"Cochin International Airport is the nearest airport , which is 87 km from Guruvayur","B-ent,I-ent,I-ent,O,O,B-ent,I-ent,O,O,O,B-qty,I-qty,B-attr,I-attr",distance from Guruvayur,distance <EOS>,"['from', 'Guruvayur']"
Distance to Cochin International Airport is 15 km,"O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,[]
Other nearby airport is Cochin International Airport which is about and 127 km from Chengannur,"O,O,O,O,B-ent,I-ent,I-ent,O,O,O,O,B-qty,I-qty,B-attr,I-attr",distance from Chengannur,distance <EOS>,"['from', 'Chengannur']"
The Cochin International Airport at Nedumbassery is only 14 km from the town,"O,B-ent,I-ent,I-ent,O,B-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance from town,distance <EOS>,"['from', 'the', 'town']"
The Cochin International Airport at Nedumbassery is only 18 km from the Kaprikad,"O,B-ent,I-ent,I-ent,O,B-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance from the Kaprikad,distance <EOS>,"['from', 'the', 'Kaprikad']"
The Cochin International Airport is around 124 km from Chengara,"O,B-ent,I-ent,I-ent,O,O,B-qty,I-qty,B-attr,I-attr",distance from Chengara,distance <EOS>,"['from', 'Chengara']"
"The nearest airport , Cochin International Airport is 66 km away","O,O,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty,O",distance,distance <EOS>,[]
"The nearest airport is Cochin International Airport , Nedumbaaserry ; about 36 km away","O,B-ent,I-ent,O,B-ent,I-ent,I-ent,O,O,O,O,B-qty,I-qty,O",distance,distance <EOS>,[]
"The nearest airport is Cochin International Airport , which is 110 kilometers away","O,O,O,O,B-ent,I-ent,I-ent,O,O,O,B-qty,I-qty,O",distance,distance <EOS>,[]
The nearest airport is Cochin International Airport which is about 88 kilometres away,"O,O,O,O,B-ent,I-ent,I-ent,O,O,O,B-qty,I-qty,O",distance,distance <EOS>,[]
Town Kulgam is situated about 68 km from Srinagar and about 17 km from Anantnag,"B-ent,I-ent,O,O,O,O,O,O,O,O,O,B-qty,I-qty,B-attr,I-attr",distance from Anantnag,distance <EOS>,"['from', 'Anantnag']"
The total area of the canton is 791 km²,"O,B-attr,I-attr,O,B-ent,I-ent,O,B-qty,I-qty",total area, <EOS>,"['total', 'area']"
"The vacancy rate for the canton , , was 0.8 %","O,B-attr,I-attr,O,B-ent,I-ent,O,O,O,B-qty,I-qty",vacancy rate, <EOS>,"['vacancy', 'rate']"
A life sentence in Pakistan generally lasts 14 years,"O,B-attr,I-attr,O,B-ent,O,B-attr,B-qty,I-qty",life sentence lasts, <EOS>,"['life', 'sentence', 'lasts']"
Border length of this district of Pakistan is 155 km,"B-attr,I-attr,I-attr,I-attr,I-attr,I-attr,B-ent,O,B-qty,I-qty",border length of this district,border <EOS>,"['Border', 'length', 'of', 'this', 'district', 'of']"
East Pakistan received only 25 percent of the economic portion of the aid,"B-ent,I-ent,B-attr,O,B-qty,I-qty,O,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr",economic portion aid, <EOS>,"['received', 'the', 'economic', 'portion', 'of', 'the', 'aid']"
M1 motorway ( Pakistan ) connects Islamabad with Peshawar and is 155 km long,"B-ent,I-ent,O,O,O,O,O,O,O,O,O,B-qty,I-qty,B-attr",length,length <EOS>,['long']
M2 motorway ( Pakistan ) is 367 km long and connect Islamabad and Lahore,"B-ent,I-ent,O,O,O,O,B-qty,I-qty,B-attr,O,O,O,O,O",length,length <EOS>,['long']
Pakistan 's GDP is projected by the World Bank to grow by 4.5 %,"B-ent,I-ent,B-attr,O,O,O,O,O,O,O,B-attr,O,B-qty,I-qty",GDP grow, <EOS>,"['GDP', 'grow']"
"Pakistan 's current energy generating capacity is 24,830 MW","B-ent,O,B-attr,I-attr,I-attr,I-attr,O,B-qty,I-qty",current energy generating capacity, <EOS>,"['current', 'energy', 'generating', 'capacity']"
Pakistan 's industrial sector accounts for about 24 % of GDP,"B-ent,I-ent,B-attr,I-attr,O,O,O,B-qty,I-qty,B-attr,I-attr",industrial sector of GDP, <EOS>,"['industrial', 'sector', 'of', 'GDP']"
Pakistan 's service sector accounts for about 60.2 % of GDP,"B-ent,I-ent,B-attr,I-attr,O,O,O,B-qty,I-qty,B-attr,I-attr",service sector of GDP, <EOS>,"['service', 'sector', 'of', 'GDP']"
Pakistan irrigates three times more acres than Russia,"B-ent,B-attr,B-qty,I-qty,B-attr,I-attr,O,O",irrigates more acres, <EOS>,"['irrigates', 'more', 'acres']"
Pakistan produced about 45 tonnes of Uranium in 2006,"B-ent,B-attr,O,B-qty,I-qty,O,O,O,O",produced  Uranium, <EOS>,['produced']
Pakistan produced about 45 tonnes of uranium in 2006,"B-ent,B-attr,O,B-qty,I-qty,O,B-attr,O,O",produced  Uranium,Uranium <EOS>,"['produced', 'uranium']"
The Pakistan Border is about 100 km away,"O,B-ent,I-ent,O,O,B-qty,I-qty,O",distance,distance <EOS>,[]
The annual trade between Azerbaijan and Pakistan is approximately 10 million USD,"O,B-attr,I-attr,O,B-ent,I-ent,I-ent,O,O,B-qty,I-qty,I-qty",annual trade, <EOS>,"['annual', 'trade']"
The minimum age for criminal responsibility in Pakistan is seven years,"O,B-attr,I-attr,I-attr,I-attr,I-attr,O,B-ent,O,B-qty,I-qty",minimum age for criminal responsibility, <EOS>,"['minimum', 'age', 'for', 'criminal', 'responsibility']"
The total maritime zone of Pakistan is over 30 percent of the land area,"O,B-attr,I-attr,I-attr,I-attr,B-ent,O,O,B-qty,I-qty,B-attr,O,I-attr,I-attr",total maritime zone land area, <EOS>,"['total', 'maritime', 'zone', 'of', 'of', 'land', 'area']"
These ports handle 95 % of Pakistan 's trade cargo to and from foreign ports,"O,B-attr,I-attr,B-qty,I-qty,O,B-ent,I-ent,B-attr,I-attr,O,O,O,O,B-ent",handle trade cargo, <EOS>,"['ports', 'handle', 'trade', 'cargo']"
Fullback Tom Rathman rushed for 63 yards and caught six passes for 48 yards,"B-ent,I-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,O,O,O,O,I-qty",rushed yards, <EOS>,['rushed']
The train journeys from both Sofia and Varna takes approximately 3.5 hours,"O,B-attr,I-attr,O,O,B-ent,I-ent,I-ent,B-attr,O,B-qty,I-qty",train journeys takes, <EOS>,"['train', 'journeys', 'takes']"
Orro is 20 km from the famous pilgrimage town of Rajgir,"B-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr,I-attr",distance from the famous pilgrimage town of Rajgir,distance <EOS>,"['from', 'the', 'famous', 'pilgrimage', 'town', 'of', 'Rajgir']"
The monastic settlement of Clonmacnoise is approximately 7 km upriver,"O,B-attr,I-attr,O,B-ent,O,O,B-qty,I-qty,O",monastic settlement upriver distance,distance <EOS>,"['monastic', 'settlement']"
The private equity fund Axcel purchased 60 % of the company in 2006,"O,B-ent,I-ent,I-ent,O,B-attr,B-qty,I-qty,O,O,B-attr,O,O",company purchased, <EOS>,"['purchased', 'company']"
"Ujjain 's population is 77 % Hindu , 19 % Muslim and 2.5 % Jain","B-ent,I-ent,B-attr,O,B-qty,I-qty,B-attr,O,O,O,O,O,O,O,O",Hindu population, <EOS>,"['population', 'Hindu']"
Roger Penske bought a used 512 M chassis that was totally dismantled and rebuilt,"B-ent,I-ent,B-attr,O,O,B-qty,O,B-attr,O,O,O,O,O,O",bought chassis, <EOS>,"['bought', 'chassis']"
Lommedalen valley opens up at Bærums Verk and runs about 5 kilometers to the north,"B-ent,I-ent,O,O,O,O,O,O,B-attr,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance runs to the north,distance <EOS>,"['runs', 'to', 'the', 'north']"
"Cam Newton held the previous record with 4,051 yards","B-ent,I-ent,B-attr,O,I-attr,I-attr,O,B-qty,I-qty",held previous record, <EOS>,"['held', 'previous', 'record']"
"The second time , Cam Newton kept the ball and ran for 13 yards","O,B-ent,I-ent,O,O,O,O,O,O,O,B-attr,O,B-qty,I-qty",ran yards, <EOS>,['ran']
Spartakos Kitiou won their 1 st title,"B-ent,I-ent,B-attr,O,B-qty,I-qty,B-attr",won title, <EOS>,"['won', 'title']"
"The National Rifle Association scored Krause 92 percent , based on candidate statements in 2012","B-ent,I-ent,I-ent,I-ent,B-attr,I-attr,B-qty,I-qty,O,O,O,O,O,O,O",scored Krause, <EOS>,"['scored', 'Krause']"
"Renala Khurd , encompassing a radius of 7 km , is home to 72,724 people","B-ent,I-ent,O,B-attr,O,I-attr,O,B-qty,I-qty,O,O,O,O,O,O",encompassing radius, <EOS>,"['encompassing', 'radius']"
The running time of the combined VHS is approximately 110 minutes,"O,B-attr,I-attr,O,O,O,B-ent,O,O,B-qty,I-qty",running time, <EOS>,"['running', 'time']"
Daspur II CD Block has an area of 165.45 km,"O,B-ent,I-ent,I-ent,O,O,B-attr,O,B-qty,I-qty",area, <EOS>,['area']
Bad weather delayed Operation Cobra for about four days,"B-ent,I-ent,B-attr,O,O,O,O,B-qty,I-qty",duration delayed,duration <EOS>,['delayed']
"Hamza Kashmiri Birpani is 80 kilometres from Kohala , and 160 kilometres from Islamabad","B-ent,I-ent,I-ent,O,O,B-qty,B-attr,O,O,O,B-qty,I-qty,B-attr,I-attr",distance from Islamabad,distance <EOS>,"['from', 'from', 'Islamabad']"
"The film , as available at Vimeo is approximately 27 minutes long","O,B-attr,O,O,O,O,B-ent,O,O,B-qty,I-qty,O",film duration,duration <EOS>,['film']
Salboni CD Block has an area of 553.39 km,"B-ent,I-ent,I-ent,O,O,B-attr,O,B-qty,I-qty",area, <EOS>,['area']
Buffalo quarterback Jim Kelly threw for 278 yards and three touchdowns,"O,O,B-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,O",threw yards, <EOS>,['threw']
The Dhuandhar Falls are located on Narmada River in Bhedaghat and are 30 meters high,"B-ent,I-ent,O,O,O,O,O,O,O,O,O,O,B-qty,I-qty,B-attr",height,height <EOS>,['high']
Passing the bridge the distance from Tehran to Urmia is 780 kilometers,"O,O,B-attr,O,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",bridge, <EOS>,['bridge']
""" Epihippus "" was only 2 feet tall","O,B-ent,O,O,O,B-qty,I-qty,B-attr",height,height <EOS>,['tall']
The University received £4.7 m Heritage Lottery Fund backing for the restoration and redevelopment project,"O,B-ent,B-attr,B-qty,O,O,O,O,O,O,O,O,O,O,O",amount received,amount <EOS>,['received']
The tree coverage at the confluence of Nelson Branch with Hammersley Fork is 70 percent,"O,B-attr,I-attr,I-attr,I-attr,I-attr,O,B-ent,I-ent,O,O,O,O,B-qty,I-qty",tree coverage at the confluence, <EOS>,"['tree', 'coverage', 'at', 'the', 'confluence']"
The basic training takes place in the Lapinjärvi civilian service centre and lasts 28 days,"O,B-ent,I-ent,O,O,O,O,O,O,O,O,O,B-attr,B-qty,I-qty",duration lasts,duration <EOS>,['lasts']
Haina River has a length of 86 km,"B-ent,I-ent,O,O,B-attr,O,B-qty,I-qty",length, <EOS>,['length']
The River Maigue is 38.75 miles long,"B-ent,I-ent,I-ent,O,B-qty,I-qty,O",length,length <EOS>,[]
Auguste Chouteau was thirty - eight years old at the time of Laclède 's death,"B-ent,I-ent,O,B-qty,I-qty,I-qty,I-qty,O,O,O,O,O,O,O,O",age,age <EOS>,[]
The siege of the fort of Mankera lasted 25 days,"O,B-attr,O,O,B-ent,I-ent,I-ent,B-attr,B-qty,I-qty",siege lasted, <EOS>,"['siege', 'lasted']"
The Garowe Airport is situated about 12 km from the Garowe city center,"O,B-ent,I-ent,O,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,B-attr,I-attr",distance from the Garowe city center,distance <EOS>,"['from', 'the', 'Garowe', 'city', 'center']"
Native Americans in the United States made up 0.3 % of Brooklyn 's population,"B-ent,I-ent,O,B-ent,I-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,B-attr,I-attr",made Brooklyn 's population, <EOS>,"['made', ""'s"", 'population']"
Native Americans in the United States made up 0.3 % of the population,"B-ent,I-ent,O,B-ent,I-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,B-attr",made the population, <EOS>,"['made', 'population']"
Native Americans in the United States make up 0.7 % of Visalia 's population,"B-ent,I-ent,O,B-ent,I-ent,I-ent,B-attr,O,B-qty,I-qty,O,B-attr,I-attr,I-attr",make Visalia 's population, <EOS>,"['make', 'Visalia', ""'s"", 'population']"
Grossdietwil has an unemployment rate of 0.89 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
"Afterwards , Comcast acquired the remaining 5 % of the shares of Sky","O,O,B-ent,B-attr,O,O,B-qty,I-qty,O,O,B-attr,I-attr,I-attr",shares acquired of Sky, <EOS>,"['acquired', 'shares', 'of', 'Sky']"
"At the time of channel 's launch mid-August , Comcast owned 20 % of MGM","O,O,O,O,O,O,O,O,O,B-ent,O,B-qty,I-qty,O,B-attr",MGM share,share <EOS>,['MGM']
Comcast previously owned approximately 30 percent of Susquehanna Communications,"B-ent,O,O,O,B-qty,I-qty,O,B-attr,I-attr",Susquehanna Communications share,share <EOS>,"['Susquehanna', 'Communications']"
Even HRPT Properties Trust had leased 70 percent of the space Comcast vacated by 2007,"O,B-ent,I-ent,I-ent,O,B-attr,B-qty,I-qty,O,B-attr,I-attr,O,O,O,O",leased the space, <EOS>,"['leased', 'the', 'space']"
"Leasing , Comcast takes up 89 percent of the building","O,O,B-ent,B-attr,O,B-qty,I-qty,O,O,B-attr",building takes, <EOS>,"['takes', 'building']"
Delaware had 97 MW of total installed capacity in 2016,"B-ent,O,B-qty,O,O,B-attr,I-attr,I-attr,O,O",total installed capacity, <EOS>,"['total', 'installed', 'capacity']"
The distance from Magu to Mwanza town is around 60 kilometres,"O,B-attr,O,B-ent,I-ent,I-ent,I-ent,O,O,B-qty,I-qty",distance, <EOS>,['distance']
", Castel San Pietro had an unemployment rate of 2.75 %","O,B-ent,I-ent,I-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
The average annual temperature in Gifu is 15.5 °C,"O,B-attr,I-attr,I-attr,O,B-ent,O,B-qty,I-qty",average annual temperature, <EOS>,"['average', 'annual', 'temperature']"
George Massenburg was around 15 years of age at the time,"B-ent,I-ent,O,O,B-qty,I-qty,B-attr,I-attr,O,O,O",age, <EOS>,"['of', 'age']"
""" Actinia cari "" grows to approximately 4-5 centimetres wide , and 8 centimetres high","O,B-ent,I-ent,O,B-attr,O,O,B-qty,I-qty,I-attr,O,O,O,I-qty,O",width grows,width <EOS>,"['grows', 'wide']"
"Emmy , voiced by Andrea Libman , is 6 years old","O,O,O,O,B-ent,I-ent,O,O,B-qty,I-qty,O",age,age <EOS>,[]
Manny Martindale took five second innings wickets for 22 runs,"B-ent,I-ent,B-attr,B-qty,I-qty,B-attr,I-attr,O,O,O",took innings wickets, <EOS>,"['took', 'innings', 'wickets']"
""" TCIRG1 "" gene mutations cause about 50 percent of cases of autosomal recessive osteopetrosis","O,B-ent,O,I-ent,I-ent,B-attr,O,B-qty,I-qty,O,B-attr,O,O,O,O",cases cause, <EOS>,"['cause', 'cases']"
"Its distance to Beirut is approximately 40 km , or approximately 1 hour of driving","O,B-attr,O,B-ent,O,O,B-qty,I-qty,O,O,O,O,O,O,O",distance, <EOS>,['distance']
The Epsilon Equulei system is thought to be approximately 1.5 billion years old,"O,B-ent,I-ent,I-ent,O,O,O,O,O,B-qty,I-qty,I-qty,O",age,age <EOS>,[]
